epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4605,2.1541,3.58309,2.58558,0.00333,1,0.01061,0.00611,1.04809,3.64096,1.23802,0,0,0
2,97.0177,2.2232,3.39932,2.53603,0.00333,1,0.13016,0.08331,1.0318,3.07509,1.23177,1.802e-05,1.802e-05,1.802e-05
3,123.615,1.88101,3.13507,2.06949,0.52864,0.75,0.55811,0.43022,0.96804,2.23555,1.18823,3.208e-05,3.208e-05,3.208e-05
4,150.085,1.58052,2.26343,1.90745,0.7974,0.98702,0.945,0.72145,0.88844,1.68899,1.13356,4.218e-05,4.218e-05,4.218e-05
5,179.839,1.61264,2.3605,1.68943,0.79695,0.98473,0.845,0.64159,0.82192,1.86703,1.08781,4.832e-05,4.832e-05,4.832e-05
6,205.52,1.22805,1.70343,1.4272,0.63885,1,0.84917,0.71,0.78942,1.78785,1.05668,5.05e-05,5.05e-05,5.05e-05
7,230.073,1.08417,1.38406,1.18419,0.87734,1,0.995,0.77063,0.79752,1.68394,1.05402,4.872e-05,4.872e-05,4.872e-05
8,257.407,1.26709,1.59111,1.34344,0.72426,1,0.945,0.7111,0.81798,1.62521,1.05546,4.298e-05,4.298e-05,4.298e-05
9,283.022,1.11475,1.84857,1.19726,0.8301,1,0.995,0.76472,0.84399,1.55719,1.05657,3.328e-05,3.328e-05,3.328e-05
10,309.837,1.10325,1.4114,1.21957,1,0.99087,0.995,0.74186,0.86875,1.46346,1.0626,1.962e-05,1.962e-05,1.962e-05
